transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
366094,40399,40612,2.4574e+06,19480,3,0,-1285.15,773.345,-7061.83,7.03294,2.12346,-1.05396,7202.33,0.00252032,1.72383,1.77957,0.271096,2.7895,5527.94,2206.79,-4087.47,4.34705,0.258192,6.01536,7213.15,0.00104255,1.72368,2.75474,0.27381,2.91855,7244.63,0.00400207,1.72417,5.08425,0.273462,5.76837,0.0196704,0.0206903,0.0202389,-0.0219479,-0.000816843,-0.00401995,0.0573226
156228,27846,27842,2.4574e+06,13020,2,0,-6617.59,-2382.51,-1575.16,1.11232,1.62229,-7.16869,7201.98,0.00145799,1.72228,1.22457,0.379775,2.13993,-2827.4,-44.7451,-6632.34,6.2572,2.95872,-2.68397,7187.37,0.00317892,1.72244,1.06069,0.3824,3.27684,7165.64,0.00683712,1.72133,0.76045,0.379557,2.60402,-0.0157921,-0.0163939,0.0134687,-0.00583003,0.0249694,-0.0175774,0.0575365
379098,40409,40416,2.4574e+06,13020,2,0,192.115,-1085.85,7122.94,-7.1802,-1.92455,-0.101908,7203.64,0.000645073,1.72379,4.26006,0.263994,3.6075,-5535.28,-2150.95,4095.01,-4.36892,-0.222212,-6.01228,7217.04,0.000904013,1.72367,1.52737,0.264186,1.00237,7176.33,0.00544951,1.72379,5.3588,0.264099,2.50878,0.0146233,-0.000994359,0.0259414,-0.0260289,-0.00710214,-0.00694316,0.0576553
392139,40479,40398,2.4574e+06,19480,3,0,-718.014,944.392,-7129.68,7.11656,2.03393,-0.449503,7206.2,0.0029999,1.72405,1.6081,0.269,3.04321,5784.02,2173.74,-3745.03,4.00977,0.0945597,6.24732,7218.64,0.000925009,1.72369,2.62346,0.265957,3.10767,7250.19,0.00381727,1.72385,5.27557,0.265852,5.65844,0.0295888,-0.0183518,0.0135934,-0.0188888,-0.00247675,-0.00703573,0.0576855
149664,27842,27846,2.4574e+06,19480,3,0,0.692888,-1166.96,7090,-6.92713,-2.70088,-0.436808,7185,0.000936707,1.72246,0.000104759,0.380748,1.63099,-6229.21,-2880.59,2181.19,-2.52702,0.129426,-6.99629,7201.2,0.00202053,1.72229,1.25138,0.384605,1.57881,7222.4,0.00524315,1.72223,1.84671,0.384625,6.06816,-0.0073316,-0.0307964,-0.0205493,0.0185387,0.00719394,0.00502303,0.058252
149654,27842,27846,2.4574e+06,19480,3,0,-6500.53,-2239.06,-2165.63,1.69451,1.82749,-7.00223,7201.21,0.00145612,1.72229,1.13006,0.379821,2.32033,-865.487,822.377,-7109.11,6.83967,2.84317,-0.498203,7185.05,0.00336953,1.72246,1.28085,0.383677,3.36286,7222.42,0.00232607,1.7222,4.02976,0.379791,5.70382,0.0184514,0.00742187,-0.00517245,-0.0264794,0.0171351,0.0208771,0.0583734
379088,40409,40416,2.4574e+06,13020,2,0,-6775.05,-1508.8,-1980.34,1.70349,1.58472,-7.05878,7220.15,0.000918316,1.72362,2.18154,0.263081,1.24134,-2627.89,364.397,-6716.05,6.64397,2.18665,-2.48373,7207.11,0.00196688,1.72377,1.39795,0.263175,2.96937,7175.69,0.00688822,1.72375,0.821205,0.263122,2.60169,-0.0242984,-0.00807175,0.0166175,0.00627216,0.00636326,-0.0265296,0.0585176
156244,27846,27842,2.4574e+06,19480,3,0,-5625.45,-1557.16,-4232.65,3.75689,2.47724,-5.91002,7196.54,0.00193654,1.72234,0.862445,0.381013,2.91498,2411.2,2044.96,-6474.66,6.43133,2.10115,3.06764,7188.07,0.0026362,1.72243,1.57861,0.385112,3.56364,7176.95,0.00556538,1.7238,1.22403,0.382099,2.55356,-0.0255321,0.00462734,-0.00144545,0.00309078,0.0299047,-0.0127905,0.0586599
366100,40399,40612,2.4574e+06,25940,4,0,6225.16,1179.59,3458.06,-3.21424,-1.92113,6.41718,7215.64,0.001612,1.72369,2.29922,0.271471,4.49002,-2522.94,-1757.76,6519.12,-6.67122,-1.41132,-2.96206,7204.04,0.000537686,1.72378,5.19089,0.275507,3.07806,7237.27,0.00464161,1.72517,1.47637,0.272301,5.313,-0.0158625,-0.0175662,-0.00037916,0.0279814,-0.0172714,-0.0121041,0.0587109
392144,40479,40398,2.4574e+06,19480,3,0,5951.67,1010.16,3952.97,-3.73111,-2.00788,6.10793,7218.5,0.00172026,1.72391,1.94686,0.269352,4.92385,-405.602,-1244.47,7092.22,-7.16306,-1.83665,-0.734558,7205.87,0.000917834,1.72382,4.42368,0.266319,3.53014,7250.43,0.00588772,1.72355,1.21845,0.269104,5.65222,-0.0199583,-0.00312226,0.00665131,0.0178192,0.0290355,-0.0159295,0.0588755
