transfer_id,departure_object_id,arrival_object_id,departure_epoch,time_of_flight,revolutions,prograde,departure_position_x,departure_position_y,departure_position_z,departure_velocity_x,departure_velocity_y,departure_velocity_z,departure_semi_major_axis,departure_eccentricity,departure_inclination,departure_argument_of_periapsis,departure_longitude_of_ascending_node,departure_true_anomaly,arrival_position_x,arrival_position_y,arrival_position_z,arrival_velocity_x,arrival_velocity_y,arrival_velocity_z,arrival_semi_major_axis,arrival_eccentricity,arrival_inclination,arrival_argument_of_periapsis,arrival_longitude_of_ascending_node,arrival_true_anomaly,transfer_semi_major_axis,transfer_eccentricity,transfer_inclination,transfer_argument_of_periapsis,transfer_longitude_of_ascending_node,transfer_true_anomaly,departure_delta_v_x,departure_delta_v_y,departure_delta_v_z,arrival_delta_v_x,arrival_delta_v_y,arrival_delta_v_z,transfer_delta_v
215095,27380,27513,2.4574e+06,414740,4,1,-18414.4,-37921.6,-15.5588,2.76672,-1.34267,-0.00100869,42165.7,0.000330314,0.000493818,4.80226,0.274618,5.46665,-42160.7,-809.792,1.43612,0.0600001,-3.07379,-0.000154258,42165,0.000323412,6.06331e-05,4.37625,0.615626,4.4521,42099.8,0.00176606,0.000432921,0.31162,0.0979536,3.85076,-0.000944563,0.00356968,0.000314644,0.00307402,-0.00232539,0.00117148,0.0077345
215080,27380,27513,2.4574e+06,414740,4,1,-41642.6,6658.68,8.67854,-0.484635,-3.03574,-0.00128083,42165.8,0.000286384,0.000464648,4.75853,0.300268,4.20742,-12994.3,40126,5.90819,-2.92423,-0.946899,1.0722e-05,42165.1,0.000297757,0.000140122,4.76967,0.338054,3.05944,42100,0.00208435,0.000212325,4.3466,1.16351,3.75611,0.00327058,0.00191335,0.00111951,-0.00136721,-0.00350391,-0.000479763,0.00774275
215090,27380,27513,2.4574e+06,414740,4,1,-7136.86,41568.3,20.2467,-3.02953,-0.519874,0.000165093,42165.7,0.000270588,0.000483036,4.92237,0.281369,2.82028,33775.5,25244.2,0.459488,-1.83981,2.46324,0.000269632,42165,0.00032748,8.83708e-05,4.69086,0.518219,1.71595,42099.8,0.00201858,0.000533476,3.81856,0.621415,3.58404,0.00287043,-0.00247229,0.000548369,-0.00366748,0.000238434,-0.00136896,0.00774974
230140,27715,28884,2.4574e+06,414740,4,1,533.029,-42154.3,13.8727,3.07496,0.0388369,0.000566729,42165.9,0.00019739,0.000377156,0.985586,3.66474,0.0747064,-39716.3,-14160.6,-5.62703,1.03322,-2.89579,-0.000976296,42164.4,0.000228222,0.000344468,5.19349,6.22785,4.62911,42223.9,0.00182371,0.00041552,0.378287,3.81105,0.535698,0.00214289,-0.00278793,0.00021497,-0.00348879,0.00105264,-0.0021875,0.00777317
242445,28790,27954,2.4574e+06,414740,4,1,21632.9,36198.2,19.116,-2.63869,1.57757,0.000639989,42165.8,0.000198921,0.000498791,5.35637,6.17487,2.06725,41520.4,-7319.34,-59.2023,0.534581,3.02812,0.00094717,42164.9,0.000267612,0.00143767,3.74554,1.18013,1.18303,42194.1,0.000851765,0.00173579,5.7162,0.767909,0.8312,-0.000163587,0.00172194,0.00451379,0.00150825,-0.00134328,-0.00219288,0.00781512
230045,27715,27954,2.4574e+06,414740,4,1,24112.1,34596.7,-4.41745,-2.52202,1.75802,-0.0010578,42165.9,0.000129664,0.000359663,0.970249,3.80818,2.46688,41520.4,-7319.34,-59.2023,0.534581,3.02812,0.00094717,42164.9,0.000267612,0.00143767,3.74554,1.18013,1.18303,42132.6,0.000947359,0.00150291,2.727,1.03188,3.48643,0.00029439,-0.00170865,0.00566521,-0.00108812,0.00138932,-0.000696407,0.00782174
175285,25239,26608,2.4574e+06,414740,4,1,-37309.4,-19637.5,-6.09142,1.43345,-2.72035,-0.00384633,42166.5,0.000478518,0.00125926,4.59686,0.369513,4.9429,-31378.6,28167.7,-9.59028,-2.05359,-2.28819,4.90596e-05,42167.1,0.000109037,0.000227995,6.27052,3.91093,4.79499,42202.3,0.00110067,0.000237913,5.11474,4.27871,0.515826,-0.00213629,-0.00260015,0.00442755,-0.000518522,0.00218529,0.000263318,0.00782262
239215,28702,24812,2.4574e+06,414740,4,1,27467.7,-31992.2,-29.1771,2.33284,2.00279,0.0002164,42166.9,3.83636e-05,0.000695529,3.82627,0.608052,0.987518,-21482.4,-36272.1,-14.5469,2.6464,-1.56654,-0.00344074,42166.3,0.000325273,0.00117091,4.20384,0.736946,5.52008,42226.7,0.00191638,0.000704047,4.17263,0.52386,0.725345,0.00412767,-0.00147462,0.000180621,-0.00302604,-0.000796931,-0.00155314,0.00788034
160795,24812,28702,2.4574e+06,414740,4,1,-735.951,42170.2,30.1678,-3.07336,-0.0533697,0.00180811,42166.1,0.000263983,0.000926043,4.36027,0.705637,2.80552,37311.2,19645.4,-6.58894,-1.43244,2.72048,0.00287415,42167.2,8.80856e-06,0.000947786,1.13222,0.650266,4.98534,42103.9,0.00190994,0.000893716,3.63003,0.660388,3.58101,0.00232279,-0.00272744,-0.000164076,-0.00430751,0.00034976,0.000171301,0.00791133
244860,28884,27715,2.4574e+06,414740,4,1,-22574.5,35622.6,9.93429,-2.59656,-1.64546,-0.00168303,42164.9,0.00019691,0.000596024,5.89894,5.68353,3.11953,21621.4,36205.4,1.88071,-2.63933,1.57643,0.000460279,42165.6,0.000128146,0.000156217,4.02108,0.742932,2.55162,42103.5,0.00190266,0.000245453,3.9131,0.849736,3.65599,0.00344481,-0.00124335,0.00189426,-0.00350318,-0.00143945,-0.00028135,0.00792103
